CA,Year,Month,Time_ID,Crime_Category,Crime_Count,Crime_Rate,,pop
1,2015,1,2015-01,Drug-Related Crimes,19,0.343521457,,55309.5
1,2015,1,2015-01,Financial Crimes,26,0.470081993,,55309.5
1,2015,1,2015-01,Other Crimes,21,0.37968161,,55309.5
1,2015,1,2015-01,Property Crimes,123,2.223849429,,55309.5
1,2015,1,2015-01,Public Order Crimes,4,0.072320307,,55309.5
1,2015,1,2015-01,Sex-Related Crimes,16,0.289281227,,55309.5
1,2015,1,2015-01,Violent Crimes,88,1.591046746,,55309.5
1,2015,2,2015-02,Drug-Related Crimes,20,0.361601533,,55309.5
1,2015,2,2015-02,Financial Crimes,27,0.48816207,,55309.5
1,2015,2,2015-02,Other Crimes,15,0.27120115,,55309.5
1,2015,2,2015-02,Property Crimes,109,1.970728356,,55309.5
1,2015,2,2015-02,Sex-Related Crimes,6,0.10848046,,55309.5
1,2015,2,2015-02,Violent Crimes,69,1.24752529,,55309.5
1,2015,3,2015-03,Drug-Related Crimes,13,0.235040997,,55309.5
1,2015,3,2015-03,Financial Crimes,30,0.5424023,,55309.5
1,2015,3,2015-03,Other Crimes,17,0.307361303,,55309.5
1,2015,3,2015-03,Property Crimes,121,2.187689276,,55309.5
1,2015,3,2015-03,Public Order Crimes,12,0.21696092,,55309.5
1,2015,3,2015-03,Sex-Related Crimes,7,0.126560537,,55309.5
1,2015,3,2015-03,Violent Crimes,93,1.681447129,,55309.5
1,2015,4,2015-04,Drug-Related Crimes,8,0.144640613,,55309.5
1,2015,4,2015-04,Financial Crimes,20,0.361601533,,55309.5
1,2015,4,2015-04,Other Crimes,19,0.343521457,,55309.5
1,2015,4,2015-04,Property Crimes,115,2.079208816,,55309.5
1,2015,4,2015-04,Public Order Crimes,7,0.126560537,,55309.5
1,2015,4,2015-04,Sex-Related Crimes,2,0.036160153,,55309.5
1,2015,4,2015-04,Violent Crimes,67,1.211365136,,55309.5
1,2015,5,2015-05,Drug-Related Crimes,20,0.361601533,,55309.5
1,2015,5,2015-05,Financial Crimes,18,0.32544138,,55309.5
1,2015,5,2015-05,Other Crimes,24,0.43392184,,55309.5
1,2015,5,2015-05,Property Crimes,156,2.820491959,,55309.5
1,2015,5,2015-05,Public Order Crimes,5,0.090400383,,55309.5
1,2015,5,2015-05,Sex-Related Crimes,7,0.126560537,,55309.5
1,2015,5,2015-05,Violent Crimes,102,1.844167819,,55309.5
1,2015,6,2015-06,Drug-Related Crimes,19,0.343521457,,55309.5
1,2015,6,2015-06,Financial Crimes,17,0.307361303,,55309.5
1,2015,6,2015-06,Other Crimes,26,0.470081993,,55309.5
1,2015,6,2015-06,Property Crimes,135,2.440810349,,55309.5
1,2015,6,2015-06,Public Order Crimes,8,0.144640613,,55309.5
1,2015,6,2015-06,Sex-Related Crimes,6,0.10848046,,55309.5
1,2015,6,2015-06,Violent Crimes,87,1.572966669,,55309.5
1,2015,7,2015-07,Drug-Related Crimes,19,0.343521457,,55309.5
1,2015,7,2015-07,Financial Crimes,14,0.253121073,,55309.5
1,2015,7,2015-07,Other Crimes,23,0.415841763,,55309.5
1,2015,7,2015-07,Property Crimes,185,3.344814182,,55309.5
1,2015,7,2015-07,Public Order Crimes,6,0.10848046,,55309.5
1,2015,7,2015-07,Sex-Related Crimes,9,0.16272069,,55309.5
1,2015,7,2015-07,Violent Crimes,105,1.898408049,,55309.5
1,2015,8,2015-08,Drug-Related Crimes,22,0.397761687,,55309.5
1,2015,8,2015-08,Financial Crimes,17,0.307361303,,55309.5
1,2015,8,2015-08,Other Crimes,25,0.452001916,,55309.5
1,2015,8,2015-08,Property Crimes,163,2.947052496,,55309.5
1,2015,8,2015-08,Public Order Crimes,6,0.10848046,,55309.5
1,2015,8,2015-08,Sex-Related Crimes,3,0.05424023,,55309.5
1,2015,8,2015-08,Violent Crimes,78,1.410245979,,55309.5
1,2015,9,2015-09,Drug-Related Crimes,19,0.343521457,,55309.5
1,2015,9,2015-09,Financial Crimes,21,0.37968161,,55309.5
1,2015,9,2015-09,Other Crimes,25,0.452001916,,55309.5
1,2015,9,2015-09,Property Crimes,161,2.910892342,,55309.5
1,2015,9,2015-09,Public Order Crimes,10,0.180800767,,55309.5
1,2015,9,2015-09,Sex-Related Crimes,9,0.16272069,,55309.5
1,2015,9,2015-09,Violent Crimes,101,1.826087743,,55309.5
1,2015,10,2015-10,Drug-Related Crimes,20,0.361601533,,55309.5
1,2015,10,2015-10,Financial Crimes,18,0.32544138,,55309.5
1,2015,10,2015-10,Other Crimes,20,0.361601533,,55309.5
1,2015,10,2015-10,Property Crimes,169,3.055532955,,55309.5
1,2015,10,2015-10,Public Order Crimes,6,0.10848046,,55309.5
1,2015,10,2015-10,Sex-Related Crimes,6,0.10848046,,55309.5
1,2015,10,2015-10,Violent Crimes,98,1.771847513,,55309.5
1,2015,11,2015-11,Drug-Related Crimes,28,0.506242146,,55309.5
1,2015,11,2015-11,Financial Crimes,13,0.235040997,,55309.5
1,2015,11,2015-11,Other Crimes,17,0.307361303,,55309.5
1,2015,11,2015-11,Property Crimes,131,2.368490042,,55309.5
1,2015,11,2015-11,Public Order Crimes,7,0.126560537,,55309.5
1,2015,11,2015-11,Sex-Related Crimes,6,0.10848046,,55309.5
1,2015,11,2015-11,Violent Crimes,59,1.066724523,,55309.5
1,2015,12,2015-12,Drug-Related Crimes,12,0.21696092,,55309.5
1,2015,12,2015-12,Financial Crimes,20,0.361601533,,55309.5
1,2015,12,2015-12,Other Crimes,17,0.307361303,,55309.5
1,2015,12,2015-12,Property Crimes,140,2.531210732,,55309.5
1,2015,12,2015-12,Public Order Crimes,1,0.018080077,,55309.5
1,2015,12,2015-12,Sex-Related Crimes,7,0.126560537,,55309.5
1,2015,12,2015-12,Violent Crimes,81,1.464486209,,55309.5
1,2016,1,2016-01,Drug-Related Crimes,7,0.126414944,,55373.2
1,2016,1,2016-01,Financial Crimes,29,0.523719055,,55373.2
1,2016,1,2016-01,Other Crimes,22,0.397304111,,55373.2
1,2016,1,2016-01,Property Crimes,144,2.600535999,,55373.2
1,2016,1,2016-01,Public Order Crimes,8,0.144474222,,55373.2
1,2016,1,2016-01,Sex-Related Crimes,11,0.198652056,,55373.2
1,2016,1,2016-01,Violent Crimes,91,1.643394277,,55373.2
1,2016,2,2016-02,Drug-Related Crimes,7,0.126414944,,55373.2
1,2016,2,2016-02,Financial Crimes,17,0.307007722,,55373.2
1,2016,2,2016-02,Other Crimes,16,0.288948444,,55373.2
1,2016,2,2016-02,Property Crimes,122,2.203231888,,55373.2
1,2016,2,2016-02,Public Order Crimes,5,0.090296389,,55373.2
1,2016,2,2016-02,Sex-Related Crimes,10,0.180592778,,55373.2
1,2016,2,2016-02,Violent Crimes,93,1.679512833,,55373.2
1,2016,3,2016-03,Drug-Related Crimes,14,0.252829889,,55373.2
1,2016,3,2016-03,Financial Crimes,30,0.541778333,,55373.2
1,2016,3,2016-03,Other Crimes,27,0.4876005,,55373.2
1,2016,3,2016-03,Property Crimes,121,2.185172611,,55373.2
1,2016,3,2016-03,Public Order Crimes,4,0.072237111,,55373.2
1,2016,3,2016-03,Sex-Related Crimes,7,0.126414944,,55373.2
1,2016,3,2016-03,Violent Crimes,104,1.878164888,,55373.2
1,2016,4,2016-04,Drug-Related Crimes,9,0.1625335,,55373.2
1,2016,4,2016-04,Financial Crimes,17,0.307007722,,55373.2
1,2016,4,2016-04,Other Crimes,19,0.343126278,,55373.2
1,2016,4,2016-04,Property Crimes,150,2.708891666,,55373.2
1,2016,4,2016-04,Public Order Crimes,3,0.054177833,,55373.2
1,2016,4,2016-04,Sex-Related Crimes,7,0.126414944,,55373.2
1,2016,4,2016-04,Violent Crimes,113,2.040698388,,55373.2
1,2016,5,2016-05,Drug-Related Crimes,12,0.216711333,,55373.2
1,2016,5,2016-05,Financial Crimes,24,0.433422667,,55373.2
1,2016,5,2016-05,Other Crimes,15,0.270889167,,55373.2
1,2016,5,2016-05,Property Crimes,143,2.582476722,,55373.2
1,2016,5,2016-05,Public Order Crimes,2,0.036118556,,55373.2
1,2016,5,2016-05,Sex-Related Crimes,8,0.144474222,,55373.2
1,2016,5,2016-05,Violent Crimes,114,2.058757666,,55373.2
1,2016,6,2016-06,Drug-Related Crimes,9,0.1625335,,55373.2
1,2016,6,2016-06,Financial Crimes,18,0.325067,,55373.2
1,2016,6,2016-06,Other Crimes,14,0.252829889,,55373.2
1,2016,6,2016-06,Property Crimes,171,3.088136499,,55373.2
1,2016,6,2016-06,Public Order Crimes,7,0.126414944,,55373.2
1,2016,6,2016-06,Sex-Related Crimes,14,0.252829889,,55373.2
1,2016,6,2016-06,Violent Crimes,88,1.589216444,,55373.2
1,2016,7,2016-07,Drug-Related Crimes,4,0.072237111,,55373.2
1,2016,7,2016-07,Financial Crimes,15,0.270889167,,55373.2
1,2016,7,2016-07,Other Crimes,26,0.469541222,,55373.2
1,2016,7,2016-07,Property Crimes,165,2.979780833,,55373.2
1,2016,7,2016-07,Public Order Crimes,4,0.072237111,,55373.2
1,2016,7,2016-07,Sex-Related Crimes,15,0.270889167,,55373.2
1,2016,7,2016-07,Violent Crimes,85,1.535038611,,55373.2
1,2016,8,2016-08,Drug-Related Crimes,10,0.180592778,,55373.2
1,2016,8,2016-08,Financial Crimes,14,0.252829889,,55373.2
1,2016,8,2016-08,Other Crimes,24,0.433422667,,55373.2
1,2016,8,2016-08,Property Crimes,157,2.83530661,,55373.2
1,2016,8,2016-08,Public Order Crimes,8,0.144474222,,55373.2
1,2016,8,2016-08,Sex-Related Crimes,7,0.126414944,,55373.2
1,2016,8,2016-08,Violent Crimes,110,1.986520555,,55373.2
1,2016,9,2016-09,Drug-Related Crimes,8,0.144474222,,55373.2
1,2016,9,2016-09,Financial Crimes,24,0.433422667,,55373.2
1,2016,9,2016-09,Other Crimes,21,0.379244833,,55373.2
1,2016,9,2016-09,Property Crimes,155,2.799188055,,55373.2
1,2016,9,2016-09,Public Order Crimes,6,0.108355667,,55373.2
1,2016,9,2016-09,Sex-Related Crimes,9,0.1625335,,55373.2
1,2016,9,2016-09,Violent Crimes,91,1.643394277,,55373.2
1,2016,10,2016-10,Drug-Related Crimes,6,0.108355667,,55373.2
1,2016,10,2016-10,Financial Crimes,27,0.4876005,,55373.2
1,2016,10,2016-10,Other Crimes,15,0.270889167,,55373.2
1,2016,10,2016-10,Property Crimes,159,2.871425166,,55373.2
1,2016,10,2016-10,Public Order Crimes,8,0.144474222,,55373.2
1,2016,10,2016-10,Sex-Related Crimes,8,0.144474222,,55373.2
1,2016,10,2016-10,Violent Crimes,96,1.733690666,,55373.2
1,2016,11,2016-11,Drug-Related Crimes,2,0.036118556,,55373.2
1,2016,11,2016-11,Financial Crimes,24,0.433422667,,55373.2
1,2016,11,2016-11,Other Crimes,21,0.379244833,,55373.2
1,2016,11,2016-11,Property Crimes,146,2.636654555,,55373.2
